"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. PANGANDARAN",1,1,2,6,14,10,18,1,3,68,0,0.00270513858373973,0.00919163363796431,0.362420203253116,1.08565773122656,1.89469959602408,1.54397661121908,2.84982564851987,1.1721554008985,1.45059226473939
"KAB. PURWAKARTA",18,19,17,8,10,61,72,24,47,234,7,1.05815122127197,0.949579486430314,0.476621088979246,0.114642750565531,0.854692870193314,1.10597471644797,0.779689469589698,1.57218625846054,1.23678512417124
"KAB. SUBANG",25,31,31,33,41,56,61,18,32,230,12,1.17680381385964,1.46415641500802,0.653973441464572,1.22794144189432,0.534044137367352,2.12772484951979,0.723646858386863,0.979787204880714,1.05789505537483
"KAB. SUKABUMI",20,22,22,33,28,14,19,126,171,265,4,1.09634892275827,1.01970106837708,0.646270494423435,1.32859923689348,0.521502740958357,1.00458109729649,1.79043589553744,2.10655661897938,1.04036885588839
"KAB. SUMEDANG",5,8,9,8,5,36,28,107,23,188,6,0.645082221634515,0.936622164078363,0.63654044292734,0.495482047291172,0.572013227671893,0.612146115332407,0.816875807026369,1.14999387147054,0.388901589954784
"KAB. TASIKMALAYA",1,1,1,0,1,29,29,16,26,51,2,0.0211923103729981,0.0381036891738368,0.124093783042798,0.153902768109488,0.382836896693938,0.564570267501125,0.506656133102494,0.943694773239653,1.33335293693519
"KOTA BANDUNG",175,179,218,168,120,373,356,478,573,1336,50,0.490199200275478,1.02170145631486,0.601967453890464,0.520625541819108,0.671532700376899,1.16281304609189,0.754910739051252,0.859067923477755,1.03495529613233
"KOTA BEKASI",369,385,298,347,447,1686,1821,1509,1457,3913,99,0.603393004063842,0.797214341782675,0.679311383082729,0.758002960729863,0.895826435316953,1.08924691959264,1.02533126281727,1.15298167210593,0.62023155287676
"KOTA BOGOR",81,84,83,107,107,205,264,566,610,1106,39,0.355084308859374,0.615583452375427,0.553387341498775,1.33515679938702,0.811560859974433,1.0757626582629,1.16423109080707,0.923675026806679,0.86970026300334
"KOTA CIMAHI",51,54,50,46,44,41,77,141,235,294,4,0.632275566692993,0.790820867601919,0.253018827152787,0.685948008057561,0.776949081809702,0.914061197128408,1.52007269330301,2.01048505803498,1.12121295245866
"KOTA CIREBON",2,2,6,4,19,18,53,122,95,203,17,0.260718919611654,0.381534520309136,0.936573751114971,0.814540049137679,1.66016368702594,0.717446105848651,1.77605646072239,0.527603738996063,1.54473884424105
"KOTA DEPOK",422,445,459,424,475,577,798,1556,1970,3092,107,0.745807337273292,0.820605374101405,0.51999278788892,0.75168179213382,0.690771594985233,0.815190278516621,1.24782516898627,1.1105778541508,1.25160386522934
"KOTA SUKABUMI",54,55,50,43,14,22,13,52,78,285,4,0.604943981580074,0.546533296411263,0.44944366361661,0.521090160100874,0.149387801769763,2.03374669151783,1.43181775158153,0.738809630056517,0.210684437784677
"KOTA TASIKMALAYA",17,17,18,8,3,26,31,11,21,55,3,0.602664938737677,0.567814776434409,0.473076433802736,0.192913610496252,0.0653181130566513,1.22875986162467,0.953513521601471,0.457935313771774,1.34536983702721
