"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. SUKABUMI",2066,4671,483,3135,2375,5688,1.09634892275827,1.01970106837708,0.646270494423435,1.32859923689348,0.521502740958357,1.00458109729649,1.79043589553744,2.10655661897938,1.04036885588839
"KAB. SUMEDANG",1311,2749,198,1321,1058,2493,0.645082221634515,0.936622164078363,0.63654044292734,0.495482047291172,0.572013227671893,0.612146115332407,0.816875807026369,1.14999387147054,0.388901589954784
"KAB. TASIKMALAYA",883,2090,160,1001,877,2077,0.0211923103729981,0.0381036891738368,0.124093783042798,0.153902768109488,0.382836896693938,0.564570267501125,0.506656133102494,0.943694773239653,1.33335293693519
"KOTA BANDUNG",5414,8566,739,4567,4017,8695,0.490199200275478,1.02170145631486,0.601967453890464,0.520625541819108,0.671532700376899,1.16281304609189,0.754910739051252,0.859067923477755,1.03495529613233
"KOTA BEKASI",4049,5217,704,3611,4060,6886,0.603393004063842,0.797214341782675,0.679311383082729,0.758002960729863,0.895826435316953,1.08924691959264,1.02533126281727,1.15298167210593,0.62023155287676
"KOTA BOGOR",2074,3203,401,2363,1843,3771,0.355084308859374,0.615583452375427,0.553387341498775,1.33515679938702,0.811560859974433,1.0757626582629,1.16423109080707,0.923675026806679,0.86970026300334
"KOTA CIMAHI",1690,2109,250,1306,1272,2242,0.632275566692993,0.790820867601919,0.253018827152787,0.685948008057561,0.776949081809702,0.914061197128408,1.52007269330301,2.01048505803498,1.12121295245866
"KOTA CIREBON",750,1086,113,682,618,1183,0.260718919611654,0.381534520309136,0.936573751114971,0.814540049137679,1.66016368702594,0.717446105848651,1.77605646072239,0.527603738996063,1.54473884424105
"KOTA DEPOK",4226,4772,832,3609,4159,6283,0.745807337273292,0.820605374101405,0.51999278788892,0.75168179213382,0.690771594985233,0.815190278516621,1.24782516898627,1.1105778541508,1.25160386522934
"KOTA SUKABUMI",455,1092,104,802,446,1315,0.604943981580074,0.546533296411263,0.44944366361661,0.521090160100874,0.149387801769763,2.03374669151783,1.43181775158153,0.738809630056517,0.210684437784677
"KOTA TASIKMALAYA",678,1232,98,544,552,1160,0.602664938737677,0.567814776434409,0.473076433802736,0.192913610496252,0.0653181130566513,1.22875986162467,0.953513521601471,0.457935313771774,1.34536983702721
