"KabupatenKota","LANSIA._.KOMORBID","LANSIA._.UNIMORBID","MUDA._.KOMORBID","MUDA._.UNIMORBID","TUA._.KOMORBID","TUA._.UNIMORBID","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. KUNINGAN",-0.404878926562853,-0.202158011805483,-0.622808691847008,-0.635168904619983,-0.571789901673373,-0.504994225452212,0.387712115010785,0.561035688180381,-0.322291015220385,-0.139281251141867,-0.855423028056093,-0.447612810476701,-0.483467867941595,0.567327420864572,-1.21676100989732
"KAB. MAJALENGKA",-0.471294397166223,-0.305039014321452,-0.516740836030268,-0.570608232010624,-0.513296974642703,-0.398198942652224,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,-1.3150363935123,1.06458195551671,-0.00818698041867639,-1.05160028430139
"KAB. PANGANDARAN",-1.30437540886502,-1.34737330272267,-1.25332316809096,-1.27220562992472,-1.24508082770725,-1.25057123083846,-3.07584944575222,-2.97999390895811,0.599461288309914,-0.0550646806839938,1.41922456927488,2.11851528933693,1.86956786371503,-0.244699748069327,0.254670909048277
"KAB. PURWAKARTA",-0.469128675298722,-0.66922810303995,-0.366478040289888,-0.44034422002006,-0.304838138948296,-0.420088659002532,0.155084846004314,-0.12602975604052,0.473767792373965,-0.0550646806839938,0.372164564154274,1.28723435559449,-1.35037576907825,3.94945999826887,-0.706264221691706
"KAB. SUBANG",-0.720352411928861,-0.562483025312114,-0.569774763938638,-0.579178232799477,-0.564322719499245,-0.365696030495706,1.0855939220302,0.693163658222861,0.264278632480715,2.85040700011264,-0.386051301622718,1.86551674428488,-2.3101666596224,-0.922703015334524,3.61794386663822
"KAB. SUKABUMI",0.0347626125398911,0.568724992962054,0.0990419935724682,0.394373856814213,0.106479145809922,0.416032173105447,-0.23262726900647,0.21750296606993,0.473767792373965,0.997642450039425,-0.133312679697054,-0.339184862597252,0.104791064972562,0.157371956936779,-0.285855101992964
"KAB. SUMEDANG",-0.510277390781245,-0.359619076689078,-0.740661864976718,-0.642024905251065,-0.713044097800627,-0.64362909567083,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,-0.158471616131503,0.259596047318393,-0.504863792485042,0.554963137404522
"KAB. TASIKMALAYA",-0.819253710544749,-0.677922272266651,-0.852622379449943,-0.824851588746594,-0.825674095593725,-0.78160064115156,-3.07584944575222,-2.97999390895811,0.515665624352615,-0.0550646806839938,0.372164564154274,0.130669578213695,1.31226992727004,-0.268351024834392,0.269685520466089
"KOTA BANDUNG",2.45170821667123,2.45004661173997,0.853302301602614,1.2125232654567,1.1282385733031,1.41334091652024,-0.103389897336209,-0.522413666167963,-2.75236526998208,-1.99204580121508,-1.93858855059465,-0.70061135552875,-0.235779896188266,-0.307769819442833,-0.405971993335461
"KOTA BEKASI",1.46630476695819,0.832448126172001,0.750180775114118,0.666328548513812,1.15499597609373,0.813363691100433,-0.361864640676732,-0.152455350049017,-0.196597519284435,-1.02355524094954,0.769325255751746,-0.0139010189589037,-0.916921818509921,-0.386607408659717,-0.390957381917649
"KOTA BOGOR",0.0405378708532276,-0.140332808415606,-0.142557011343438,-0.0466955171187497,-0.22456593057642,-0.219764588160319,0.258474743340523,0.164651778052937,1.26982659996831,0.913425879581551,-0.386051301622718,0.0222416303342461,-0.452506871472429,-0.0633732928704948,-0.79635189019858
"KOTA CIMAHI",-0.236674528186926,-0.668745093638466,-0.587452739908095,-0.650594906039918,-0.579879349028678,-0.726876350275789,-0.077542423002157,0.00609821400196017,0.0547894725874649,1.12396730572624,-0.891528545474045,-1.13432314704655,1.31226992727004,0.488489831647689,-0.390957381917649
"KOTA CIREBON",-0.915267380003969,-1.162863711356,-0.991099857877352,-1.0071069388562,-0.986840777518654,-1.07810679898755,0.413559589344837,0.561035688180381,0.515665624352615,-0.0550646806839938,2.57460112664934,-0.447612810476701,0.135752061441728,-0.631003935232055,0.569977748822334
"KOTA DEPOK",1.59408235714076,0.617508942511879,1.12731092912919,0.665185881741965,1.21660022903029,0.613371282627164,0.077542423002157,0.138226184044441,-1.49543031062258,-1.3183132375521,-0.458262336458621,0.275240175386294,-0.142896906780767,-0.544282587093483,0.0594809606167177
"KOTA SUKABUMI",-1.12823003030825,-1.1599656549471,-1.01761682183154,-0.938546932545376,-1.09387038868116,-1.03432736628693,-0.516949486681046,-0.918797576295406,0.431869960395315,-0.0550646806839938,0.372164564154274,-0.375327511890402,-0.978843811448253,-0.449677480033223,-1.39693634691107
"KOTA TASIKMALAYA",-0.967244704823998,-1.09234433873943,-1.03529479780099,-1.08595094611365,-1.02791027947636,-1.08573503347326,0.232627269006471,0.481758906154892,0.515665624352615,-0.0550646806839938,0.372164564154274,0.745094616197241,-0.266740892657432,-0.213164712382573,0.870269977178578
