"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. KUNINGAN",-0.546375632841022,-0.549482599912745,-0.512939248161677,-0.510759547217932,-0.478503486389103,-0.418069452039544,-0.421581767102812,-0.28281994850484,0.243429521778442,-0.410137476227241,-0.524754684858058,0.387712115010785,0.561035688180381,-0.322291015220385,-0.139281251141867,-0.855423028056093,-0.447612810476701,-0.483467867941595,0.567327420864572,-1.21676100989732
"KAB. MAJALENGKA",-0.564860690035383,-0.575988254082933,-0.586216283613345,-0.566130283400001,-0.540903941040472,-0.406381488864245,-0.45002535884412,-0.623408068309576,-0.571364172010897,-0.575448771277369,-0.490387879300603,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,-1.3150363935123,1.06458195551671,-0.00818698041867639,-1.05160028430139
"KAB. PANGANDARAN",-0.564860690035383,-0.567153036026203,-0.595375913044804,-0.547673371339312,-0.439503202231997,-0.438523387596317,-0.478468950585428,-0.682640784797356,-0.678130242231569,-0.64117494882742,-0.76532232376024,-3.07584944575222,-2.97999390895811,0.599461288309914,-0.0550646806839938,1.41922456927488,2.11851528933693,1.86956786371503,-0.244699748069327,0.254670909048277
"KAB. PURWAKARTA",-0.407737703883313,-0.408119111005075,-0.457981471572926,-0.529216459278622,-0.470703429557682,-0.289501857111254,-0.33883677294628,-0.633985339110965,-0.595714328377015,-0.475863653777292,-0.524754684858058,0.155084846004314,-0.12602975604052,0.473767792373965,-0.0550646806839938,0.372164564154274,1.28723435559449,-1.35037576907825,3.94945999826887,-0.706264221691706
"KAB. SUBANG",-0.343040003703049,-0.302096494324323,-0.329746659532507,-0.298505058520001,-0.228901667783627,-0.304111811080378,-0.367280364687588,-0.646678064072633,-0.623810662645613,-0.479847058477295,-0.352920657070784,1.0855939220302,0.693163658222861,0.264278632480715,2.85040700011264,-0.386051301622718,1.86551674428488,-2.3101666596224,-0.922703015334524,3.61794386663822
"KAB. SUKABUMI",-0.389252646688952,-0.381613456834887,-0.412183324415634,-0.298505058520001,-0.330302406592102,-0.426835424421018,-0.475883169518036,-0.418209014762623,-0.363451298423273,-0.444992267352268,-0.627855101530422,-0.23262726900647,0.21750296606993,0.473767792373965,0.997642450039425,-0.133312679697054,-0.339184862597252,0.104791064972562,0.157371956936779,-0.285855101992964
"KAB. SUMEDANG",-0.52789057564666,-0.505306509629098,-0.531258507024594,-0.529216459278622,-0.509703713714787,-0.362551626956873,-0.452611139911512,-0.458402643807903,-0.640668463206772,-0.521672807827327,-0.559121490415512,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,-0.158471616131503,0.259596047318393,-0.504863792485042,0.554963137404522
"KAB. TASIKMALAYA",-0.564860690035383,-0.567153036026203,-0.604535542476263,-0.603044107521381,-0.540903941040472,-0.383005562513647,-0.45002535884412,-0.650908972393188,-0.635049196353052,-0.658104418802433,-0.696588712645331,-3.07584944575222,-2.97999390895811,0.515665624352615,-0.0550646806839938,0.372164564154274,0.130669578213695,1.31226992727004,-0.268351024834392,0.269685520466089
"KOTA BANDUNG",1.04333928587404,1.00551577807162,1.38310404415024,0.947336505576554,0.387302821898641,0.622159270562074,0.395525050192943,0.326430849655184,0.389530459975151,0.621564341073559,0.953017954112492,-0.103389897336209,-0.522413666167963,-2.75236526998208,-1.99204580121508,-1.93858855059465,-0.70061135552875,-0.235779896188266,-0.307769819442833,-0.405971993335461
"KOTA BEKASI",2.83638983372707,2.82557069775787,2.11587439866692,2.59923013500828,2.93792140577334,4.458733182854,4.18369431392168,2.50746408890166,2.04534109287119,3.18787281905055,2.63699142642777,-0.361864640676732,-0.152455350049017,-0.196597519284435,-1.02355524094954,0.769325255751746,-0.0139010189589037,-0.916921818509921,-0.386607408659717,-0.390957381917649
